system:index,Area_sq_km,Class,Year,.geo
1_1_1_0,11.387868835933665,1,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1,14.330138008742136,2,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,17.6651538160817,3,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,0.8275326430644919,4,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,8.790086172392005,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,20.75117525465089,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,16.405435398687146,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,0.05111132166029987,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,4.423575683744067,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,12.74403734733933,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,11.362020032411095,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,18.003528065495995,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,4.25396330088202,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,12.339069781758374,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,21.576128843813684,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,8.473311377543132,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
